"URL","URL DEPTH","SEGMENTS","DISCOVERED","INDEXABLE","IN XML SITEMAP","GSC CLICKS","GSC CTR","GSC IMPRESSIONS","GSC POSITION","IS LINKED","INCOMING LINKS INTERNALLY","TITLE","GA ACTIVE USERS","GA AVERAGE ENGAGEMENT TIME","GA SCREEN PAGEVIEWS"
"/articles/what-is-an-international-driving-permit","2","Important pages,Articles","10/22/24","Yes","No","2,412","5%","49,072","12","No","0","International Driving Permit: How to Get an IDP in Alberta | AMA Travel","4,125","53","6,060"
"/articles/pok-a-tok-ancient-mayan-sport","2","Important pages,Articles","10/22/24","Yes","No","1,566","1%","172,698","6.2","No","0","Pok-A-Tok: The Ancient Maya Ball Game | AMA Travel","1,903","58","2,727"
"/articles/see-everything-phoenix-to-grand-canyon","2","Important pages,Articles","10/22/24","Yes","No","1,399","1%","169,095","7.7","No","0","The Arizona Road Trip from Phoenix to the Grand Canyon | AMA Travel","1,422","65","1,629"
"/articles/simple-guide-to-tipping-at-all-inclusive-resorts","2","Important pages,Articles","10/22/24","Yes","No","9,909","2%","399,378","5.6","No","0","The Guide to Tipping at All-Inclusive Resorts & Hotels","9,945","63","13,586"
"/articles/planning-miami-to-key-west-road-trip","2","Important pages,Articles","10/22/24","Yes","No","863","0%","158,343","9","No","0","Planning Your Miami to Key West Road Trip | AMA Travel","1,004","90","1,312"
"/articles/17-fast-facts-about-dominican-republic","2","Important pages,Articles","10/22/24","Yes","No","3,358","2%","198,465","6","No","0","17 Fast Facts About the Dominican Republic | AMA Travel","3,029","67","3,594"
"/articles/9-things-you-should-know-before-travelling-to-cuba","2","Important pages,Articles","10/22/24","Yes","No","2,203","2%","86,787","8.3","No","0","9 Things You Should Know Before Travelling to Cuba | AMA Travel","2,232","85","2,526"
"/articles/best-time-to-visit-banff-and-the-canadian-rockies","2","Important pages,Articles","10/22/24","Yes","No","340","0%","96,026","9.2","No","0","Best Time to Visit Banff and the Canadian Rockies | AMA Travel","409","39","480"
"/articles/how-much-is-a-parks-canada-discovery-pass","2","Important pages,Articles","10/22/24","Yes","No","841","1%","130,296","8.8","No","0","Parks Canada Discovery Pass | AMA Travel","1,823","39","2,391"
"/articles/where-do-i-need-international-driving-permit","2","Important pages,Articles","5/6/25","Yes","No","753","1%","78,407","10.1","No","0","Where Do I Need an International Driving Permit? | AMA Travel","2,633","44","3,559"
"/articles/alberta-ghost-towns","2","Important pages,Articles","10/22/24","Yes","No","906","3%","27,534","7.6","No","0","Alberta Ghost Towns – The Spookiest Abandoned Places for a Road Trip!","1,331","58","1,681"
"/articles/triptik-road-trip-calgary-to-kelowna","2","Important pages,Articles","8/6/24","Yes","No","352","1%","35,288","9.9","No","0","Everything You Need to Know About Road-Tripping Calgary to Kelowna | AMA Travel","355","64","488"
"/articles/complete-guide-cruising-western-caribbean","2","Important pages,Articles","8/7/24","Yes","No","319","0%","79,449","6.1","No","0","Your Complete Guide to Cruising the Western Caribbean | AMA Travel","401","54","462"
"/articles/when-you-should-get-trip-cancellation-trip-interruption-insurance","2","Important pages,Articles","10/22/24","Yes","No","98","0%","66,273","20.1","No","0","What Is Flight Cancellation Insurance?  | AMA Travel","191","100","273"
"/articles/ama-centres-with-foreign-currency-machines","2","Important pages,Articles","10/22/24","Yes","No","756","4%","19,688","12.8","No","0","Which Locations Have Foreign Currency Machines? | AMA Travel","1,164","38","1,547"
"/articles/reasons-to-visit-the-cayman-islands","2","Important pages,Articles","10/22/24","Yes","No","217","1%","30,336","12.7","No","0","What Makes the Cayman Islands Amazing | AMA Travel","354","66","428"
"/articles/the-real-life-pirate-hideouts-of-the-caribbean","2","Important pages,Articles","10/22/24","Yes","No","442","0%","80,992","6.8","No","0","Real-Life Pirate Hideouts of the Caribbean | AMA Travel","481","68","580"
"/articles/travel-medical-insurance-after-60","2","Important pages,Articles,Travel Insurance","10/22/24","Yes","No","237","1%","22,055","20.6","No","0","Travel Medical Insurance After 60: Tips & Info | AMA Travel","594","88","758"
"/articles/dog-friendly-cruise-ships","2","Important pages,Articles","10/22/24","Yes","No","407","1%","39,289","7.8","No","0","Dog-Friendly Cruises, Pet Tips for Travel, and More! | AMA Travel","495","60","555"
"/articles/family-activities-las-vegas","2","Important pages,Articles","8/8/24","Yes","No","383","1%","50,506","9.4","No","0","Family Activities Just Outside of Vegas | AMA Travel","392","72","472"
"/articles/7-ways-labour-day-long-weekend-alberta","2","Important pages,Articles","10/23/24","Yes","No","410","4%","10,316","12","No","0","7 Ways to Not Waste the Labour Day Long Weekend in Alberta","383","40","442"
"/articles/guide-to-portugal","2","Important pages,Articles","10/22/24","Yes","No","540","1%","65,936","9.7","No","0","A Beginners Travel Guide to Portugal | AMA Travel","1,076","72","1,265"
"/articles/guide-to-scotland","2","Important pages,Articles","10/22/24","Yes","No","98","0%","24,151","8.6","No","0","A Beginner's Travel Guide to Scotland | AMA Travel","801","42","906"
"/articles/how-much-is-a-disneyland-resort-park-hopper-ticket","2","Important pages,Articles","10/22/24","Yes","No","187","0%","58,525","12.4","No","0","Disneyland Resort Park Hopper Ticket | AMA Travel","469","34","607"
"/articles/out-of-office-emails","2","Important pages,Articles","10/22/24","Yes","No","463","1%","57,205","25.6","No","0","13 Vacation Out-of-Office Messages | AMA Travel","512","54","546"
"/articles/what-is-lightning-lane-at-disney","2","Important pages,Articles","8/6/24","Yes","No","345","1%","46,534","8.4","No","0","What’s the Difference Between Disney’s Single, Multi, and Premier Lightning Lane Passes?","349","63","411"
"/articles/mama-juana-dominican-republic-drink-recipe","2","Important pages,Articles","10/22/24","Yes","No","293","0%","69,669","6.3","No","0","Learn About Mama Juana, the Dominican Republic Drink | AMA Travel","314","47","361"
"/articles/guide-to-france","2","Important pages,Articles","10/22/24","Yes","No","28","0%","30,431","5.3","No","0","A Beginner’s Guide to France | AMA Travel","221","21","253"
