Purpose,Keyword,MSV,RelevanceScore,Category,SuggestedUse
?,history of tourism and hospitality industry timeline,80,3,Primary,H2 / Main anchor
?,alberta tourism,60,2,Primary,H2 / Main anchor
?,tourism alberta,160,2,Primary,H2 / Main anchor
?,alberta history,90,2,Primary,H2 / Main anchor
?,history of alberta,50,2,Primary,H2 / Main anchor
?,travel history,3170,2,Primary,H2 / Main anchor
?,alberta tourism,60,2,Primary,H2 / Main anchor
?,tourism alberta,160,2,Primary,H2 / Main anchor
?,alberta destinations,80,1,Primary,H2 / Main anchor
?,travel alberta,680,1,Primary,H2 / Main anchor
?,map of alberta's cities,90,1,Primary,H2 / Main anchor
?,landmarks In alberta,90,1,Primary,H2 / Main anchor
?,alberta on the map,50,1,Primary,H2 / Main anchor
?,history of travel,110,1,Primary,H2 / Main anchor
?,history travel,150,1,Primary,H2 / Main anchor
?,tourist history,350,1,Primary,H2 / Main anchor
?,history of travel,50,1,Primary,H2 / Main anchor
?,tourism history,30,2,Secondary,Subsection / FAQ / Alt text
?,history of tourism,30,2,Secondary,Subsection / FAQ / Alt text
?,tourism and history,40,2,Secondary,Subsection / FAQ / Alt text
?,historical development of tourism,100,2,Secondary,Subsection / FAQ / Alt text
?,history of travel and tourism,30,2,Secondary,Subsection / FAQ / Alt text
?,how did people travel in the past,60,1,Secondary,Subsection / FAQ / Alt text
?,history of travelling,30,1,Secondary,Subsection / FAQ / Alt text
?,history of traveling,30,1,Secondary,Subsection / FAQ / Alt text
?,when did tourism start,30,1,Secondary,Subsection / FAQ / Alt text
?,why people travel,400,0,Secondary - Broad,Subsection / FAQ / Alt text
?,tourism in alberta,20,2,Tertiary,Caption / alt / internal anchor text
?,alberta history facts,10,2,Tertiary,Caption / alt / internal anchor text
?,history of travel timeline,10,2,Tertiary,Caption / alt / internal anchor text
?,history of travel and tourism,20,2,Tertiary,Caption / alt / internal anchor text
?,history of travel agency,10,2,Tertiary,Caption / alt / internal anchor text
?,history of travel timeline,10,2,Tertiary,Caption / alt / internal anchor text
?,history of travel agencies,10,2,Tertiary,Caption / alt / internal anchor text
?,canadian tourism,10,1,Tertiary,Caption / alt / internal anchor text
?,tourism in canada,10,1,Tertiary,Caption / alt / internal anchor text
?,alberta travel destinations,10,1,Tertiary,Caption / alt / internal anchor text
?,alberta travel,20,1,Tertiary,Caption / alt / internal anchor text
?,travel in alberta,10,1,Tertiary,Caption / alt / internal anchor text
?,the history of travel,20,1,Tertiary,Caption / alt / internal anchor text
?,evolution of travel,20,1,Tertiary,Caption / alt / internal anchor text
?,travel through history,20,1,Tertiary,Caption / alt / internal anchor text
?,history of vacations,10,1,Tertiary,Caption / alt / internal anchor text
?,the history of travel,20,1,Tertiary,Caption / alt / internal anchor text
?,alberta travel destinations,10,1,Tertiary,Caption / alt / internal anchor text
?,alberta travel,20,1,Tertiary,Caption / alt / internal anchor text
?,travel alberta industry,0,1,Tertiary,Caption / alt / internal anchor text
?,travel in alberta,10,1,Tertiary,Caption / alt / internal anchor text
Brand,alberta motor association travel,60,?,?,?
Brand,ama travel,"11,000",?,?,?
Brand history,AMA Travel history,NA,?,?,?
Brand history,Alberta Motor Association history (entity disambiguation),NA,?,?,?
Brand history,AMA founding 1926 (exact-match question),NA,?,?,?
Brand history,when was AMA Travel founded,NA,?,?,?
Broad local-history anchor,history of travel in Alberta,NA,?,?,?
?,development of tourism in Alberta,NA,?,?,?
?,Alberta tourism timeline,NA,?,?,?
Distinct regional narrative; great for a dedicated micro-section,Road to the Rockies history,NA,?,?,?
Alberta’s early auto camps (c.1920),Camping with your car,NA,?,?,?
?,First motel in Alberta / first motor hotel in Alberta,NA,?,?,?
?,Hotel booking services & LeisureShopper,NA,?,?,?
?,AMA’s role in Banff & Jasper tourism,NA,?,?,?
notable milestones that differentiate AMA,cruise partnerships (Princess / Holland America),NA,?,?,?
notable milestones that differentiate AMA,AMA President’s Cruise,NA,?,?,?
?,how did travel agencies work before the internet,NA,?,?,?
?,how travel agencies helped Canadians in the 1900s,NA,?,?,?
?,history of road trips in Alberta,NA,?,?,?
?,oldest travel agency in Alberta,NA,?,?,?
?,oldest travel agency in Calgary,NA,?,?,?
?,first travel agency in Alberta,NA,?,?,?
"Entity / Relevance Building ""Flavour terms""",oldest hotel in Edmonton,NA,?,?,?
"Entity / Relevance Building ""Flavour terms""",first airport in Calgary / first airport in Edmonton / first airport in Alberta,NA,?,?,?
"Entity / Relevance Building ""Flavour terms""",tourism archival content / vintage Alberta travel photos (gallery bait),NA,?,?,?
